NAMESPACE         NAME                                                              STATUS
energy-platform   energy-platform-backfill-ceps-load-29837617-flwlp                 Succeeded
energy-platform   energy-platform-backfill-ote-dam-29837617-mhcjk                   Succeeded
energy-platform   energy-platform-backfill-ote-imbalance-settlement-2983761749dl7   Succeeded
energy-platform   energy-platform-backfill-ote-imbalance-settlement-fi-29837g56sb   Succeeded
energy-platform   energy-platform-backfill-ote-imbalance-settlement-mo-29837skrnx   Succeeded
energy-platform   energy-platform-backfill-ote-intraday-market-29837617-f5skp       Succeeded
energy-platform   energy-platform-backfill-ote-intraday-market-xlsx-298376179cx6w   Succeeded
energy-platform   energy-platform-capture-ceps-load-29837655-vm9mv                  Succeeded
energy-platform   energy-platform-capture-ote-dam-29837640-98ffn                    Succeeded
energy-platform   energy-platform-capture-ote-imbalance-settlement-29837657-9c29z   Succeeded
energy-platform   energy-platform-capture-ote-intraday-market-29837655-br9bc        Succeeded
energy-platform   energy-platform-capture-ote-intraday-market-xlsx-29837655-5cgds   Succeeded
energy-platform   energy-platform-gaps-29837655-mm247                               Succeeded
energy-platform   energy-platform-metrics-768bfb455d-z4f5l                          Running
energy-platform   energy-platform-pg-backup-29836815-62k9p                          Succeeded
energy-platform   energy-platform-pg-wal-ship-29837660-8npsp                        Succeeded
energy-platform   energy-platform-postgres-0                                        Running
energy-platform   energy-platform-process-ceps-load-29837658-dq8hd                  Succeeded
energy-platform   energy-platform-process-ote-dam-29837643-6rx9p                    Succeeded
energy-platform   energy-platform-process-ote-imbalance-settlement-29837660-2tfmq   Succeeded
energy-platform   energy-platform-process-ote-intraday-market-29837658-dj49l        Succeeded
energy-platform   energy-platform-process-ote-intraday-market-xlsx-29837658-kwj2t   Succeeded
energy-platform   energy-platform-recapture-ceps-load-29837651-5n954                Succeeded
energy-platform   energy-platform-recapture-ote-dam-29837653-mwj6f                  Succeeded
energy-platform   energy-platform-recapture-ote-imbalance-settlement-2983761ktc79   Succeeded
energy-platform   energy-platform-recapture-ote-imbalance-settlement-f-298379cdpj   Succeeded
energy-platform   energy-platform-recapture-ote-imbalance-settlement-m-29837r82dz   Succeeded
energy-platform   energy-platform-recapture-ote-intraday-market-29837647-v5tg5      Succeeded
energy-platform   energy-platform-recapture-ote-intraday-market-xlsx-2983644gfv7h   Succeeded
energy-platform   energy-platform-recapture-ote-intraday-market-xlsx-2983752g8rtj   Failed
energy-platform   energy-platform-recapture-ote-intraday-market-xlsx-2983758d6hlb   Failed
energy-platform   energy-platform-recapture-ote-intraday-market-xlsx-2983764zknvt   Failed
energy-platform   energy-platform-replicate-29837657-r99ws                          Succeeded
energy-platform   energy-platform-restore-drill-29836890-x7wsh                      Failed
energy-platform   restore-drill-manual-2-4ff7f                                      Failed
energy-platform   restore-drill-manual-3-lx7fn                                      Succeeded
kube-system       coredns-54996dc9b4-vvf92                                          Running
kube-system       local-path-provisioner-77b9867795-wwpm6                           Running
kube-system       metrics-server-6dc596dfb8-g4bg7                                   Running

