NAME                                                   SCHEDULE             LAST_SUCCESS           SUSPENDED
energy-platform-backfill-ceps-load                     37 * * * *           2026-09-24T22:38:25Z   false
energy-platform-backfill-ote-dam                       37 * * * *           2026-09-24T22:37:34Z   false
energy-platform-backfill-ote-imbalance-settlement      37 * * * *           2026-09-24T22:37:48Z   false
energy-platform-backfill-ote-imbalance-settlement-fi   37 * * * *           2026-09-24T22:37:45Z   false
energy-platform-backfill-ote-imbalance-settlement-mo   37 * * * *           2026-09-24T22:37:35Z   false
energy-platform-backfill-ote-intraday-market           37 * * * *           2026-09-24T22:38:24Z   false
energy-platform-backfill-ote-intraday-market-xlsx      37 * * * *           2026-09-24T22:38:12Z   false
energy-platform-capture-ceps-load                      */15 * * * *         2026-09-24T23:15:40Z   false
energy-platform-capture-ote-dam                        15 13-16 * * *       2026-09-24T16:01:29Z   false
energy-platform-capture-ote-imbalance-settlement       17 * * * *           2026-09-24T23:18:29Z   false
energy-platform-capture-ote-imbalance-settlement-fin   37 7 1 * *           <none>                 false
energy-platform-capture-ote-imbalance-settlement-mon   27 7 1 * *           <none>                 false
energy-platform-capture-ote-intraday-market            */15 * * * *         2026-09-24T23:16:29Z   false
energy-platform-capture-ote-intraday-market-xlsx       */15 * * * *         2026-09-24T23:16:26Z   false
energy-platform-gaps                                   */15 * * * *         2026-09-24T23:17:26Z   false
energy-platform-pg-backup                              15 2 * * *           2026-09-24T00:15:17Z   false
energy-platform-pg-wal-ship                            */10 * * * *         2026-09-24T23:20:06Z   false
energy-platform-process-ceps-load                      3-59/15 * * * *      2026-09-24T23:18:54Z   false
energy-platform-process-ote-dam                        18 13-16 * * *       2026-09-24T16:03:34Z   false
energy-platform-process-ote-imbalance-settlement       20 * * * *           2026-09-24T23:20:45Z   false
energy-platform-process-ote-imbalance-settlement-fin   40 7 1 * *           <none>                 false
energy-platform-process-ote-imbalance-settlement-mon   30 7 1 * *           <none>                 false
energy-platform-process-ote-intraday-market            3-59/15 * * * *      2026-09-24T23:19:02Z   false
energy-platform-process-ote-intraday-market-xlsx       3-59/15 * * * *      2026-09-24T23:18:56Z   false
energy-platform-recapture-ceps-load                    11 * * * *           2026-09-24T23:12:01Z   false
energy-platform-recapture-ote-dam                      13 6 * * *           2026-09-24T16:14:21Z   false
energy-platform-recapture-ote-imbalance-settlement     37 * * * *           2026-09-24T22:38:35Z   false
energy-platform-recapture-ote-imbalance-settlement-f   57 7 * * *           2026-09-24T05:58:07Z   false
energy-platform-recapture-ote-imbalance-settlement-m   47 7 * * *           2026-09-24T05:48:33Z   false
energy-platform-recapture-ote-intraday-market          7 3 * * *            2026-09-24T16:08:31Z   false
energy-platform-recapture-ote-intraday-market-xlsx     9 3 * * *            2026-09-24T16:10:27Z   false
energy-platform-replicate                              7,22,37,52 * * * *   2026-09-24T23:22:57Z   false
energy-platform-restore-drill                          30 3 * * *           2026-09-24T03:26:42Z   false
