NAME                                                            SUCCEEDED   FAILED   START                  END
energy-platform-pg-backup-29836815                              1           <none>   2026-09-24T00:15:00Z   2026-09-24T00:15:17Z
energy-platform-restore-drill-29836890                          <none>      1        2026-09-24T01:30:00Z   <none>
restore-drill-manual-2                                          <none>      1        2026-09-24T02:05:33Z   <none>
restore-drill-manual-3                                          1           <none>   2026-09-24T02:52:46Z   2026-09-24T03:26:42Z
energy-platform-recapture-ote-imbalance-settlement-m-29837147   1           <none>   2026-09-24T05:47:00Z   2026-09-24T05:48:33Z
energy-platform-recapture-ote-imbalance-settlement-f-29837157   1           <none>   2026-09-24T05:57:00Z   2026-09-24T05:58:07Z
energy-platform-recapture-ote-intraday-market-xlsx-29837529     <none>      1        2026-09-24T12:09:00Z   <none>
energy-platform-recapture-ote-intraday-market-xlsx-29837589     <none>      1        2026-09-24T13:09:00Z   <none>
energy-platform-recapture-ote-intraday-market-xlsx-29837649     <none>      1        2026-09-24T14:09:00Z   <none>
energy-platform-capture-ote-dam-29837760                        1           <none>   2026-09-24T16:00:00Z   2026-09-24T16:01:29Z
energy-platform-process-ote-dam-29837763                        1           <none>   2026-09-24T16:03:00Z   2026-09-24T16:03:34Z
energy-platform-recapture-ote-intraday-market-29837767          1           <none>   2026-09-24T16:07:00Z   2026-09-24T16:08:31Z
energy-platform-recapture-ote-intraday-market-xlsx-29837769     1           <none>   2026-09-24T16:09:00Z   2026-09-24T16:10:27Z
energy-platform-recapture-ote-dam-29837773                      1           <none>   2026-09-24T16:13:00Z   2026-09-24T16:14:21Z
invalidate-23sep-file-under-21-22                               1           <none>   2026-09-24T20:48:41Z   2026-09-24T21:18:18Z
energy-platform-recapture-ote-imbalance-settlement-29838157     1           <none>   2026-09-24T22:37:00Z   2026-09-24T22:38:35Z
energy-platform-backfill-ceps-load-29838157                     1           <none>   2026-09-24T22:37:00Z   2026-09-24T22:38:25Z
energy-platform-backfill-ote-dam-29838157                       1           <none>   2026-09-24T22:37:00Z   2026-09-24T22:37:34Z
energy-platform-backfill-ote-imbalance-settlement-29838157      1           <none>   2026-09-24T22:37:00Z   2026-09-24T22:37:48Z
energy-platform-backfill-ote-imbalance-settlement-fi-29838157   1           <none>   2026-09-24T22:37:00Z   2026-09-24T22:37:45Z
energy-platform-backfill-ote-imbalance-settlement-mo-29838157   1           <none>   2026-09-24T22:37:00Z   2026-09-24T22:37:35Z
energy-platform-backfill-ote-intraday-market-29838157           1           <none>   2026-09-24T22:37:00Z   2026-09-24T22:38:24Z
energy-platform-backfill-ote-intraday-market-xlsx-29838157      1           <none>   2026-09-24T22:37:00Z   2026-09-24T22:38:12Z
energy-platform-recapture-ceps-load-29838191                    1           <none>   2026-09-24T23:11:00Z   2026-09-24T23:12:01Z
energy-platform-capture-ceps-load-29838195                      1           <none>   2026-09-24T23:15:00Z   2026-09-24T23:15:40Z
energy-platform-capture-ote-intraday-market-29838195            1           <none>   2026-09-24T23:15:00Z   2026-09-24T23:16:29Z
energy-platform-gaps-29838195                                   1           <none>   2026-09-24T23:15:00Z   2026-09-24T23:17:26Z
energy-platform-capture-ote-intraday-market-xlsx-29838195       1           <none>   2026-09-24T23:15:00Z   2026-09-24T23:16:26Z
energy-platform-capture-ote-imbalance-settlement-29838197       1           <none>   2026-09-24T23:17:00Z   2026-09-24T23:18:29Z
energy-platform-process-ceps-load-29838198                      1           <none>   2026-09-24T23:18:00Z   2026-09-24T23:18:54Z
energy-platform-process-ote-intraday-market-xlsx-29838198       1           <none>   2026-09-24T23:18:00Z   2026-09-24T23:18:56Z
energy-platform-process-ote-intraday-market-29838198            1           <none>   2026-09-24T23:18:00Z   2026-09-24T23:19:02Z
energy-platform-pg-wal-ship-29838200                            1           <none>   2026-09-24T23:20:00Z   2026-09-24T23:20:06Z
energy-platform-process-ote-imbalance-settlement-29838200       1           <none>   2026-09-24T23:20:00Z   2026-09-24T23:20:45Z
energy-platform-replicate-29838202                              1           <none>   2026-09-24T23:22:00Z   2026-09-24T23:22:57Z
