NAMESPACE         NAME                                                              PHASE
energy-platform   energy-platform-backfill-ceps-load-29838157-84l8q                 Succeeded
energy-platform   energy-platform-backfill-ote-dam-29838157-mjt9j                   Succeeded
energy-platform   energy-platform-backfill-ote-imbalance-settlement-298381579qwsw   Succeeded
energy-platform   energy-platform-backfill-ote-imbalance-settlement-fi-29838swh6n   Succeeded
energy-platform   energy-platform-backfill-ote-imbalance-settlement-mo-29838nh4jx   Succeeded
energy-platform   energy-platform-backfill-ote-intraday-market-29838157-6zkgw       Succeeded
energy-platform   energy-platform-backfill-ote-intraday-market-xlsx-298381576zhxh   Succeeded
energy-platform   energy-platform-capture-ceps-load-29838195-6mbbm                  Succeeded
energy-platform   energy-platform-capture-ote-dam-29837760-5hf6k                    Succeeded
energy-platform   energy-platform-capture-ote-imbalance-settlement-29838197-cnn7b   Succeeded
energy-platform   energy-platform-capture-ote-intraday-market-29838195-qr4j7        Succeeded
energy-platform   energy-platform-capture-ote-intraday-market-xlsx-29838195-w2rrm   Succeeded
energy-platform   energy-platform-gaps-29838195-8ghhv                               Succeeded
energy-platform   energy-platform-grafana-5879cb88d8-5sqwf                          Running
energy-platform   energy-platform-metrics-768bfb455d-z4f5l                          Running
energy-platform   energy-platform-pg-backup-29836815-62k9p                          Succeeded
energy-platform   energy-platform-pg-wal-ship-29838200-mmb64                        Succeeded
energy-platform   energy-platform-postgres-0                                        Running
energy-platform   energy-platform-process-ceps-load-29838198-mphfr                  Succeeded
energy-platform   energy-platform-process-ote-dam-29837763-rlchg                    Succeeded
energy-platform   energy-platform-process-ote-imbalance-settlement-29838200-pqk9p   Succeeded
energy-platform   energy-platform-process-ote-intraday-market-29838198-vk9pp        Succeeded
energy-platform   energy-platform-process-ote-intraday-market-xlsx-29838198-bl25x   Succeeded
energy-platform   energy-platform-recapture-ceps-load-29838191-rpc6n                Succeeded
energy-platform   energy-platform-recapture-ote-dam-29837773-dsqp6                  Succeeded
energy-platform   energy-platform-recapture-ote-imbalance-settlement-2983815q9bnh   Succeeded
energy-platform   energy-platform-recapture-ote-imbalance-settlement-f-298379cdpj   Succeeded
energy-platform   energy-platform-recapture-ote-imbalance-settlement-m-29837r82dz   Succeeded
energy-platform   energy-platform-recapture-ote-intraday-market-29837767-j6znm      Succeeded
energy-platform   energy-platform-recapture-ote-intraday-market-xlsx-2983752g8rtj   Failed
energy-platform   energy-platform-recapture-ote-intraday-market-xlsx-2983758d6hlb   Failed
energy-platform   energy-platform-recapture-ote-intraday-market-xlsx-2983764zknvt   Failed
energy-platform   energy-platform-recapture-ote-intraday-market-xlsx-2983776nglls   Succeeded
energy-platform   energy-platform-replicate-29838202-n2tz7                          Succeeded
energy-platform   energy-platform-restore-drill-29836890-x7wsh                      Failed
energy-platform   invalidate-23sep-file-under-21-22-5nkrr                           Succeeded
energy-platform   restore-drill-manual-2-4ff7f                                      Failed
energy-platform   restore-drill-manual-3-lx7fn                                      Succeeded
kube-system       coredns-54996dc9b4-vvf92                                          Running
kube-system       local-path-provisioner-77b9867795-wwpm6                           Running
kube-system       metrics-server-6dc596dfb8-g4bg7                                   Running
